id	choice_key	dilemma_key	payload_key	value
27273163	FIRST	sw_foreign_displacement_vik_reg_rendlesham	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273164	SECOND	sw_foreign_displacement_vik_reg_rendlesham	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273165	THIRD	sw_foreign_displacement_vik_reg_rendlesham	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273166	FIRST	sw_foreign_displacement_vik_reg_rendlesham	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273167	FIRST	sw_foreign_displacement_vik_reg_rendlesham	TARGET	EVENT
27273168	FIRST	sw_foreign_displacement_vik_reg_rendlesham	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273169	SECOND	sw_foreign_displacement_vik_reg_rendlesham	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273170	THIRD	sw_foreign_displacement_vik_reg_rendlesham	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273171	FIRST	sw_foreign_displacement_vik_reg_scoan	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273172	FIRST	sw_foreign_displacement_vik_reg_scoan	TARGET	EVENT
27273173	FIRST	sw_foreign_displacement_vik_reg_scoan	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273174	SECOND	sw_foreign_displacement_vik_reg_scoan	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273175	THIRD	sw_foreign_displacement_vik_reg_scoan	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273176	FIRST	sw_foreign_displacement_vik_reg_scoan	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273177	FIRST	sw_foreign_displacement_vik_reg_scoan	TARGET	EVENT
27273178	FIRST	sw_foreign_displacement_vik_reg_scoan	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273179	SECOND	sw_foreign_displacement_vik_reg_scoan	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273180	THIRD	sw_foreign_displacement_vik_reg_scoan	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273181	FIRST	sw_foreign_displacement_vik_reg_seolesigge	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273182	FIRST	sw_foreign_displacement_vik_reg_seolesigge	TARGET	EVENT
27273183	FIRST	sw_foreign_displacement_vik_reg_seolesigge	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273184	SECOND	sw_foreign_displacement_vik_reg_seolesigge	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273185	THIRD	sw_foreign_displacement_vik_reg_seolesigge	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273186	FIRST	sw_foreign_displacement_vik_reg_seolesigge	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273187	FIRST	sw_foreign_displacement_vik_reg_seolesigge	TARGET	EVENT
27273188	FIRST	sw_foreign_displacement_vik_reg_seolesigge	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273189	SECOND	sw_foreign_displacement_vik_reg_seolesigge	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273190	THIRD	sw_foreign_displacement_vik_reg_seolesigge	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273191	FIRST	sw_foreign_displacement_vik_reg_snotingaham	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273192	FIRST	sw_foreign_displacement_vik_reg_snotingaham	TARGET	EVENT
27273193	FIRST	sw_foreign_displacement_vik_reg_snotingaham	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273194	SECOND	sw_foreign_displacement_vik_reg_snotingaham	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273195	THIRD	sw_foreign_displacement_vik_reg_snotingaham	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273196	FIRST	sw_foreign_displacement_vik_reg_snotingaham	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273197	FIRST	sw_foreign_displacement_vik_reg_snotingaham	TARGET	EVENT
27273198	FIRST	sw_foreign_displacement_vik_reg_snotingaham	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273199	SECOND	sw_foreign_displacement_vik_reg_snotingaham	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273200	THIRD	sw_foreign_displacement_vik_reg_snotingaham	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273201	FIRST	sw_foreign_displacement_vik_reg_steanford	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273202	FIRST	sw_foreign_displacement_vik_reg_steanford	TARGET	EVENT
27273203	FIRST	sw_foreign_displacement_vik_reg_steanford	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273204	SECOND	sw_foreign_displacement_vik_reg_steanford	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273205	THIRD	sw_foreign_displacement_vik_reg_steanford	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273206	FIRST	sw_foreign_displacement_vik_reg_steanford	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273207	FIRST	sw_foreign_displacement_vik_reg_steanford	TARGET	EVENT
27273208	FIRST	sw_foreign_displacement_vik_reg_steanford	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273209	SECOND	sw_foreign_displacement_vik_reg_steanford	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273210	THIRD	sw_foreign_displacement_vik_reg_steanford	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273211	FIRST	sw_foreign_displacement_vik_reg_tamworthige	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273212	FIRST	sw_foreign_displacement_vik_reg_tamworthige	TARGET	EVENT
27273213	FIRST	sw_foreign_displacement_vik_reg_tamworthige	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273214	SECOND	sw_foreign_displacement_vik_reg_tamworthige	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273215	THIRD	sw_foreign_displacement_vik_reg_tamworthige	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273216	FIRST	sw_foreign_displacement_vik_reg_tamworthige	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273217	FIRST	sw_foreign_displacement_vik_reg_tamworthige	TARGET	EVENT
27273218	FIRST	sw_foreign_displacement_vik_reg_tamworthige	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273219	SECOND	sw_foreign_displacement_vik_reg_tamworthige	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273220	THIRD	sw_foreign_displacement_vik_reg_tamworthige	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273221	FIRST	sw_foreign_displacement_vik_reg_tintagol	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273222	FIRST	sw_foreign_displacement_vik_reg_tintagol	TARGET	EVENT
27273223	FIRST	sw_foreign_displacement_vik_reg_tintagol	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273224	SECOND	sw_foreign_displacement_vik_reg_tintagol	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273225	THIRD	sw_foreign_displacement_vik_reg_tintagol	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273226	FIRST	sw_foreign_displacement_vik_reg_tintagol	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273227	FIRST	sw_foreign_displacement_vik_reg_tintagol	TARGET	EVENT
27273228	FIRST	sw_foreign_displacement_vik_reg_tintagol	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273229	SECOND	sw_foreign_displacement_vik_reg_tintagol	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273230	THIRD	sw_foreign_displacement_vik_reg_tintagol	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273231	FIRST	sw_foreign_displacement_vik_reg_tor_in_duine	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273232	FIRST	sw_foreign_displacement_vik_reg_tor_in_duine	TARGET	EVENT
27273233	FIRST	sw_foreign_displacement_vik_reg_tor_in_duine	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273234	SECOND	sw_foreign_displacement_vik_reg_tor_in_duine	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273235	THIRD	sw_foreign_displacement_vik_reg_tor_in_duine	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273236	FIRST	sw_foreign_displacement_vik_reg_tor_in_duine	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273237	FIRST	sw_foreign_displacement_vik_reg_tor_in_duine	TARGET	EVENT
27273238	FIRST	sw_foreign_displacement_vik_reg_tor_in_duine	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273239	SECOND	sw_foreign_displacement_vik_reg_tor_in_duine	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273240	THIRD	sw_foreign_displacement_vik_reg_tor_in_duine	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273241	FIRST	sw_foreign_displacement_vik_reg_vedrafjordr	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273242	FIRST	sw_foreign_displacement_vik_reg_vedrafjordr	TARGET	EVENT
27273243	FIRST	sw_foreign_displacement_vik_reg_vedrafjordr	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273244	SECOND	sw_foreign_displacement_vik_reg_vedrafjordr	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273245	THIRD	sw_foreign_displacement_vik_reg_vedrafjordr	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273246	FIRST	sw_foreign_displacement_vik_reg_vedrafjordr	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273247	FIRST	sw_foreign_displacement_vik_reg_vedrafjordr	TARGET	EVENT
27273248	FIRST	sw_foreign_displacement_vik_reg_vedrafjordr	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273249	SECOND	sw_foreign_displacement_vik_reg_vedrafjordr	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273250	THIRD	sw_foreign_displacement_vik_reg_vedrafjordr	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273251	FIRST	sw_foreign_displacement_vik_reg_veisafjordr	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273252	FIRST	sw_foreign_displacement_vik_reg_veisafjordr	TARGET	EVENT
27273253	FIRST	sw_foreign_displacement_vik_reg_veisafjordr	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273254	SECOND	sw_foreign_displacement_vik_reg_veisafjordr	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273255	THIRD	sw_foreign_displacement_vik_reg_veisafjordr	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273256	FIRST	sw_foreign_displacement_vik_reg_veisafjordr	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273257	FIRST	sw_foreign_displacement_vik_reg_veisafjordr	TARGET	EVENT
27273258	FIRST	sw_foreign_displacement_vik_reg_veisafjordr	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273259	SECOND	sw_foreign_displacement_vik_reg_veisafjordr	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273260	THIRD	sw_foreign_displacement_vik_reg_veisafjordr	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273261	FIRST	sw_foreign_displacement_vik_reg_waerincwicum	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273262	FIRST	sw_foreign_displacement_vik_reg_waerincwicum	TARGET	EVENT
27273263	FIRST	sw_foreign_displacement_vik_reg_waerincwicum	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273264	SECOND	sw_foreign_displacement_vik_reg_waerincwicum	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273265	THIRD	sw_foreign_displacement_vik_reg_waerincwicum	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273266	FIRST	sw_foreign_displacement_vik_reg_waerincwicum	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273267	FIRST	sw_foreign_displacement_vik_reg_waerincwicum	TARGET	EVENT
27273268	FIRST	sw_foreign_displacement_vik_reg_waerincwicum	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273269	SECOND	sw_foreign_displacement_vik_reg_waerincwicum	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273270	THIRD	sw_foreign_displacement_vik_reg_waerincwicum	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273271	FIRST	sw_foreign_displacement_vik_reg_werham	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273272	FIRST	sw_foreign_displacement_vik_reg_werham	TARGET	EVENT
27273273	FIRST	sw_foreign_displacement_vik_reg_werham	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273274	SECOND	sw_foreign_displacement_vik_reg_werham	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273275	THIRD	sw_foreign_displacement_vik_reg_werham	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273276	FIRST	sw_foreign_displacement_vik_reg_werham	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273277	FIRST	sw_foreign_displacement_vik_reg_werham	TARGET	EVENT
27273278	FIRST	sw_foreign_displacement_vik_reg_werham	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273279	SECOND	sw_foreign_displacement_vik_reg_werham	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273280	THIRD	sw_foreign_displacement_vik_reg_werham	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273281	FIRST	sw_foreign_displacement_vik_reg_wintanceaster	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273282	FIRST	sw_foreign_displacement_vik_reg_wintanceaster	TARGET	EVENT
27273283	FIRST	sw_foreign_displacement_vik_reg_wintanceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273284	SECOND	sw_foreign_displacement_vik_reg_wintanceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273285	THIRD	sw_foreign_displacement_vik_reg_wintanceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273286	FIRST	sw_foreign_displacement_vik_reg_wintanceaster	sw_foreign_displacement_1	DURATION[4];GLOBAL
27273287	FIRST	sw_foreign_displacement_vik_reg_wintanceaster	TARGET	EVENT
27273288	FIRST	sw_foreign_displacement_vik_reg_wintanceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273289	SECOND	sw_foreign_displacement_vik_reg_wintanceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_up]
27273290	THIRD	sw_foreign_displacement_vik_reg_wintanceaster	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_200_lost]
27273291	FIRST	sw_foreign_oaths_vik_reg_aberffro	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273292	FIRST	sw_foreign_oaths_vik_reg_aberffro	TARGET	EVENT
27273293	FIRST	sw_foreign_oaths_vik_reg_aberffro	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273294	SECOND	sw_foreign_oaths_vik_reg_aberffro	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273295	SECOND	sw_foreign_oaths_vik_reg_aberffro	TARGET	EVENT
27273296	SECOND	sw_foreign_oaths_vik_reg_aberffro	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273297	FIRST	sw_foreign_oaths_vik_reg_aberffro	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273298	FIRST	sw_foreign_oaths_vik_reg_aberffro	TARGET	EVENT
27273299	FIRST	sw_foreign_oaths_vik_reg_aberffro	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273300	SECOND	sw_foreign_oaths_vik_reg_aberffro	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273301	SECOND	sw_foreign_oaths_vik_reg_aberffro	TARGET	EVENT
27273302	SECOND	sw_foreign_oaths_vik_reg_aberffro	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273303	FIRST	sw_foreign_oaths_vik_reg_aberteifi	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273304	FIRST	sw_foreign_oaths_vik_reg_aberteifi	TARGET	EVENT
27273305	FIRST	sw_foreign_oaths_vik_reg_aberteifi	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273306	SECOND	sw_foreign_oaths_vik_reg_aberteifi	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273307	SECOND	sw_foreign_oaths_vik_reg_aberteifi	TARGET	EVENT
27273308	SECOND	sw_foreign_oaths_vik_reg_aberteifi	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273309	FIRST	sw_foreign_oaths_vik_reg_aberteifi	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273310	FIRST	sw_foreign_oaths_vik_reg_aberteifi	TARGET	EVENT
27273311	FIRST	sw_foreign_oaths_vik_reg_aberteifi	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273312	SECOND	sw_foreign_oaths_vik_reg_aberteifi	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273313	SECOND	sw_foreign_oaths_vik_reg_aberteifi	TARGET	EVENT
27273314	SECOND	sw_foreign_oaths_vik_reg_aberteifi	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273315	FIRST	sw_foreign_oaths_vik_reg_achadh_bo	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273316	FIRST	sw_foreign_oaths_vik_reg_achadh_bo	TARGET	EVENT
27273317	FIRST	sw_foreign_oaths_vik_reg_achadh_bo	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273318	SECOND	sw_foreign_oaths_vik_reg_achadh_bo	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273319	SECOND	sw_foreign_oaths_vik_reg_achadh_bo	TARGET	EVENT
27273320	SECOND	sw_foreign_oaths_vik_reg_achadh_bo	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273321	FIRST	sw_foreign_oaths_vik_reg_achadh_bo	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273322	FIRST	sw_foreign_oaths_vik_reg_achadh_bo	TARGET	EVENT
27273323	FIRST	sw_foreign_oaths_vik_reg_achadh_bo	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273324	SECOND	sw_foreign_oaths_vik_reg_achadh_bo	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273325	SECOND	sw_foreign_oaths_vik_reg_achadh_bo	TARGET	EVENT
27273326	SECOND	sw_foreign_oaths_vik_reg_achadh_bo	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273327	FIRST	sw_foreign_oaths_vik_reg_aethelingaeg	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273328	FIRST	sw_foreign_oaths_vik_reg_aethelingaeg	TARGET	EVENT
27273329	FIRST	sw_foreign_oaths_vik_reg_aethelingaeg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273330	SECOND	sw_foreign_oaths_vik_reg_aethelingaeg	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273331	SECOND	sw_foreign_oaths_vik_reg_aethelingaeg	TARGET	EVENT
27273332	SECOND	sw_foreign_oaths_vik_reg_aethelingaeg	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273333	FIRST	sw_foreign_oaths_vik_reg_aethelingaeg	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273334	FIRST	sw_foreign_oaths_vik_reg_aethelingaeg	TARGET	EVENT
27273335	FIRST	sw_foreign_oaths_vik_reg_aethelingaeg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273336	SECOND	sw_foreign_oaths_vik_reg_aethelingaeg	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273337	SECOND	sw_foreign_oaths_vik_reg_aethelingaeg	TARGET	EVENT
27273338	SECOND	sw_foreign_oaths_vik_reg_aethelingaeg	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273339	FIRST	sw_foreign_oaths_vik_reg_airchardan	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273340	FIRST	sw_foreign_oaths_vik_reg_airchardan	TARGET	EVENT
27273341	FIRST	sw_foreign_oaths_vik_reg_airchardan	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273342	SECOND	sw_foreign_oaths_vik_reg_airchardan	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273343	SECOND	sw_foreign_oaths_vik_reg_airchardan	TARGET	EVENT
27273344	SECOND	sw_foreign_oaths_vik_reg_airchardan	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273345	FIRST	sw_foreign_oaths_vik_reg_airchardan	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273346	FIRST	sw_foreign_oaths_vik_reg_airchardan	TARGET	EVENT
27273347	FIRST	sw_foreign_oaths_vik_reg_airchardan	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273348	SECOND	sw_foreign_oaths_vik_reg_airchardan	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273349	SECOND	sw_foreign_oaths_vik_reg_airchardan	TARGET	EVENT
27273350	SECOND	sw_foreign_oaths_vik_reg_airchardan	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273351	FIRST	sw_foreign_oaths_vik_reg_bebbanburg	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273352	FIRST	sw_foreign_oaths_vik_reg_bebbanburg	TARGET	EVENT
27273353	FIRST	sw_foreign_oaths_vik_reg_bebbanburg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273354	SECOND	sw_foreign_oaths_vik_reg_bebbanburg	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273355	SECOND	sw_foreign_oaths_vik_reg_bebbanburg	TARGET	EVENT
27273356	SECOND	sw_foreign_oaths_vik_reg_bebbanburg	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273357	FIRST	sw_foreign_oaths_vik_reg_bebbanburg	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273358	FIRST	sw_foreign_oaths_vik_reg_bebbanburg	TARGET	EVENT
27273359	FIRST	sw_foreign_oaths_vik_reg_bebbanburg	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273360	SECOND	sw_foreign_oaths_vik_reg_bebbanburg	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273361	SECOND	sw_foreign_oaths_vik_reg_bebbanburg	TARGET	EVENT
27273362	SECOND	sw_foreign_oaths_vik_reg_bebbanburg	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273363	FIRST	sw_foreign_oaths_vik_reg_blascona	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273364	FIRST	sw_foreign_oaths_vik_reg_blascona	TARGET	EVENT
27273365	FIRST	sw_foreign_oaths_vik_reg_blascona	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273366	SECOND	sw_foreign_oaths_vik_reg_blascona	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273367	SECOND	sw_foreign_oaths_vik_reg_blascona	TARGET	EVENT
27273368	SECOND	sw_foreign_oaths_vik_reg_blascona	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273369	FIRST	sw_foreign_oaths_vik_reg_blascona	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273370	FIRST	sw_foreign_oaths_vik_reg_blascona	TARGET	EVENT
27273371	FIRST	sw_foreign_oaths_vik_reg_blascona	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273372	SECOND	sw_foreign_oaths_vik_reg_blascona	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273373	SECOND	sw_foreign_oaths_vik_reg_blascona	TARGET	EVENT
27273374	SECOND	sw_foreign_oaths_vik_reg_blascona	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273375	FIRST	sw_foreign_oaths_vik_reg_bornais	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273376	FIRST	sw_foreign_oaths_vik_reg_bornais	TARGET	EVENT
27273377	FIRST	sw_foreign_oaths_vik_reg_bornais	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273378	SECOND	sw_foreign_oaths_vik_reg_bornais	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273379	SECOND	sw_foreign_oaths_vik_reg_bornais	TARGET	EVENT
27273380	SECOND	sw_foreign_oaths_vik_reg_bornais	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273381	FIRST	sw_foreign_oaths_vik_reg_bornais	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273382	FIRST	sw_foreign_oaths_vik_reg_bornais	TARGET	EVENT
27273383	FIRST	sw_foreign_oaths_vik_reg_bornais	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273384	SECOND	sw_foreign_oaths_vik_reg_bornais	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273385	SECOND	sw_foreign_oaths_vik_reg_bornais	TARGET	EVENT
27273386	SECOND	sw_foreign_oaths_vik_reg_bornais	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273387	FIRST	sw_foreign_oaths_vik_reg_cair_gwent	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273388	FIRST	sw_foreign_oaths_vik_reg_cair_gwent	TARGET	EVENT
27273389	FIRST	sw_foreign_oaths_vik_reg_cair_gwent	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273390	SECOND	sw_foreign_oaths_vik_reg_cair_gwent	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273391	SECOND	sw_foreign_oaths_vik_reg_cair_gwent	TARGET	EVENT
27273392	SECOND	sw_foreign_oaths_vik_reg_cair_gwent	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273393	FIRST	sw_foreign_oaths_vik_reg_cair_gwent	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273394	FIRST	sw_foreign_oaths_vik_reg_cair_gwent	TARGET	EVENT
27273395	FIRST	sw_foreign_oaths_vik_reg_cair_gwent	TEXT_DISPLAY	LOOKUP[sw_foreign_warriors_120_lost]
27273396	SECOND	sw_foreign_oaths_vik_reg_cair_gwent	sw_foreign_oaths_2	DURATION[4];GLOBAL
27273397	SECOND	sw_foreign_oaths_vik_reg_cair_gwent	TARGET	EVENT
27273398	SECOND	sw_foreign_oaths_vik_reg_cair_gwent	TEXT_DISPLAY	LOOKUP[sw_foreign_crisis_level_down]
27273399	FIRST	sw_foreign_oaths_vik_reg_caisil	sw_foreign_oaths_1	DURATION[4];GLOBAL
27273400	FIRST	sw_foreign_oaths_vik_reg_caisil	TARGET	EVENT
